country,date,doing_business,gdppc
Austria,2003-01-01,,47564.8638976916
Austria,2002-01-01,,47351.3346982706
Austria,2001-01-01,,46811.746772924
Austria,2000-01-01,,46403.2776992589
Austria,1999-01-01,,44996.0545966818
Austria,1998-01-01,,43535.4217533188
Austria,1997-01-01,,42076.2876519581
Austria,1996-01-01,,41260.1714020034
Austria,1995-01-01,,40367.4710458506
Austria,1994-01-01,,39378.7061153852
Austria,1993-01-01,,38603.2585486016
Austria,1992-01-01,,38718.93304962
Austria,1991-01-01,,38344.6538588312
Austria,1990-01-01,,37440.8371224764
Austria,1989-01-01,,
Austria,1988-01-01,,
Austria,1987-01-01,,
Austria,1986-01-01,,
Austria,1985-01-01,,
Austria,1984-01-01,,
Austria,1983-01-01,,
Austria,1982-01-01,,
Austria,1981-01-01,,
Austria,1980-01-01,,
Austria,1979-01-01,,
Austria,1978-01-01,,
Austria,1977-01-01,,
Austria,1976-01-01,,
Austria,1975-01-01,,
Austria,1974-01-01,,
Austria,1973-01-01,,
Austria,1972-01-01,,
Austria,1971-01-01,,
Austria,1970-01-01,,
Austria,1969-01-01,,
Austria,1968-01-01,,
Austria,1967-01-01,,
Austria,1966-01-01,,
Austria,1965-01-01,,
Austria,1964-01-01,,
Austria,1963-01-01,,
Austria,1962-01-01,,
Austria,1961-01-01,,
Austria,1960-01-01,,
Belgium,2020-01-01,,48203.6419388597
Belgium,2019-01-01,74.98904,51735.8668837633
Belgium,2018-01-01,74.74503,51104.1827216761
Belgium,2017-01-01,72.18146,50435.5834432248
Belgium,2016-01-01,72.4092,49822.3571208045
Belgium,2015-01-01,72.42806,49448.8850610951
Belgium,2014-01-01,,48741.2145990499
Belgium,2013-01-01,,48197.2623566645
Belgium,2012-01-01,,48203.6003521512
Belgium,2011-01-01,,48147.5553562431
Belgium,2010-01-01,,47965.2707459123
Belgium,2009-01-01,,47057.6398373859
Belgium,2008-01-01,,48416.1588810628
Belgium,2007-01-01,,48583.0185789049
Belgium,2006-01-01,,47205.4051380483
Belgium,2005-01-01,,46335.1462063183
Belgium,2004-01-01,,45533.5483079498
Belgium,2003-01-01,,44154.2024101715
Belgium,2002-01-01,,43883.9301575108
Belgium,2001-01-01,,43341.3037069088
Belgium,2000-01-01,,43017.603591764
Belgium,1999-01-01,,41576.7800001823
Belgium,1998-01-01,,40246.3536654865
Belgium,1997-01-01,,39556.3625808097
Belgium,1996-01-01,,38202.9139241302
Belgium,1995-01-01,,37778.4096393928
Belgium,1994-01-01,,36975.8306460501
Belgium,1993-01-01,,35930.4979260634
Belgium,1992-01-01,,36421.4590888573
Belgium,1991-01-01,,36018.2114895813
Belgium,1990-01-01,,35501.5322272734
Belgium,1989-01-01,,
Belgium,1988-01-01,,
Belgium,1987-01-01,,
Belgium,1986-01-01,,
Belgium,1985-01-01,,
Belgium,1984-01-01,,
Belgium,1983-01-01,,
Belgium,1982-01-01,,
Belgium,1981-01-01,,
Belgium,1980-01-01,,
Belgium,1979-01-01,,
Belgium,1978-01-01,,
Belgium,1977-01-01,,
Belgium,1976-01-01,,
Belgium,1975-01-01,,
Belgium,1974-01-01,,
Belgium,1973-01-01,,
Belgium,1972-01-01,,
Belgium,1971-01-01,,
Belgium,1970-01-01,,
Belgium,1969-01-01,,
Belgium,1968-01-01,,
Belgium,1967-01-01,,
Belgium,1966-01-01,,
Belgium,1965-01-01,,
Belgium,1964-01-01,,
Belgium,1963-01-01,,
Belgium,1962-01-01,,
Belgium,1961-01-01,,
Belgium,1960-01-01,,
Bahrain,2020-01-01,,40933.3526644217
Bahrain,2019-01-01,76.02665,45060.4237448845
Bahrain,2018-01-01,70.13951,46200.445580954
Bahrain,2017-01-01,69.09366,47709.7780156397
Bahrain,2016-01-01,68.7147,47937.7090620549
Bahrain,2015-01-01,66.6415,48110.7341930587
Bahrain,2014-01-01,,48201.1571717366
Bahrain,2013-01-01,,46930.8307282373
Bahrain,2012-01-01,,45035.9785547932
Bahrain,2011-01-01,,44157.4796400241
Bahrain,2010-01-01,,44599.804972084
Bahrain,2009-01-01,,44759.3947196856
Bahrain,2008-01-01,,46408.8320829659
Bahrain,2007-01-01,,47000.3153341983
Bahrain,2006-01-01,,46910.1911420582
Bahrain,2005-01-01,,47493.1483991775
Bahrain,2004-01-01,,47661.3940699161
Bahrain,2003-01-01,,47476.9833537752
Bahrain,2002-01-01,,47311.7455106711
Bahrain,2001-01-01,,48245.775482163
Bahrain,2000-01-01,,49406.2910308378
