Municipality,Year,Ethnic_Vote_Share,Casualty,Log_Casualty,HHI_SB,HHI_CB,HHI_SC,HHI.1991,Pop_Density,Income_PC,Avg_Age,Avg_Age_Sqr,Refugees,Prison_Camps,Claims,CivilianCasualty,Partition,HHI.2013,TimedHHI,Net_Displacement,Gross_Displacement
Bijeljina,2006,93.41086237,1.074359715,0.07172487,0.4950979,0.306767423,0.586725824,0.451481836,132.1362398,18827.48381,32.9360591,1084.783989,9.349610261,0.123726647,8.504144843,0.27941601,0,0.741113332,0.781716354,5.464143314,8.234589394
Bijeljina,2010,92.55008433,1.074359715,0.07172487,0.4950979,0.306767423,0.586725824,0.451481836,132.1362398,18827.48381,32.9360591,1084.783989,9.349610261,0.123726647,8.504144843,0.27941601,0,0.741113332,0.758514627,5.365118459,8.085356663
Bijeljina,2014,94.13096383,1.074359715,0.07172487,0.4950979,0.306767423,0.586725824,0.451481836,132.1362398,18827.48381,32.9360591,1084.783989,9.349610261,0.123726647,8.504144843,0.27941601,0,0.741113332,0.7353129,5.308334394,7.999781774
Banja Luka,2006,95.61959732,0.919812767,-0.083585144,0.46152163,0.14713888,0.46094542,0.357422542,157.9435028,31953.16109,32.56276445,1060.333628,5.157594587,0.045990638,8.040185598,0.085849192,0,0.805405098,0.763563185,5.510630709,6.254712594
Banja Luka,2010,94.1109159,0.919812767,-0.083585144,0.46152163,0.14713888,0.46094542,0.357422542,157.9435028,31953.16109,32.56276445,1060.333628,5.157594587,0.045990638,8.040185598,0.085849192,0,0.805405098,0.787472849,5.389496553,6.117222102
Banja Luka,2014,92.94054419,0.919812767,-0.083585144,0.46152163,0.14713888,0.46094542,0.357422542,157.9435028,31953.16109,32.56276445,1060.333628,5.157594587,0.045990638,8.040185598,0.085849192,0,0.805405098,0.811382514,5.292347452,6.006955285
Celinac,2006,95.00205395,1.277186982,0.244659989,0.819768289,0.073616738,0.880601435,0.789149016,51.69337017,15775.02271,30.96617325,958.9038857,2.174958585,0.213755143,1.752792177,0.144284722,0,0.916108983,0.919481628,0.132168716,1.637742788
Celinac,2010,96.52118912,1.277186982,0.244659989,0.819768289,0.073616738,0.880601435,0.789149016,51.69337017,15775.02271,30.96617325,958.9038857,2.174958585,0.213755143,1.752792177,0.144284722,0,0.916108983,0.917554402,0.134298727,1.664136401
Celinac,2014,95.12164999,1.277186982,0.244659989,0.819768289,0.073616738,0.880601435,0.789149016,51.69337017,15775.02271,30.96617325,958.9038857,2.174958585,0.213755143,1.752792177,0.144284722,0,0.916108983,0.915627177,0.136498516,1.691394659
Tesanj,2006,76.67509892,1.551155116,0.43899989,0.667619923,0.611524243,0.153255779,0.55795602,218.3783784,18202.68152,28.19358498,794.8782342,2.629950495,0.082508251,NA,0.321782178,1,NA,NA,NA,NA
Tesanj,2010,59.67726256,1.551155116,0.43899989,0.667619923,0.611524243,0.153255779,0.55795602,218.3783784,18202.68152,28.19358498,794.8782342,2.629950495,0.082508251,NA,0.321782178,1,NA,NA,NA,NA
Tesanj,2014,69.95451526,1.551155116,0.43899989,0.667619923,0.611524243,0.153255779,0.55795602,218.3783784,18202.68152,28.19358498,794.8782342,2.629950495,0.082508251,NA,0.321782178,1,NA,NA,NA,NA
Maglaj,2006,76.28468654,1.991334009,0.68880477,0.392639194,0.373695412,0.262814325,0.336147738,112.6961039,22577.41772,29.6704734,880.3369919,2.42002397,0.023047847,2.235641191,0.488614363,0,0.741800301,0.701838657,-13.31296933,23.01132748
Maglaj,2010,59.76591075,1.991334009,0.68880477,0.392639194,0.373695412,0.262814325,0.336147738,112.6961039,22577.41772,29.6704734,880.3369919,2.42002397,0.023047847,2.235641191,0.488614363,0,0.741800301,0.724673882,-13.42115393,23.19832343
Maglaj,2014,64.50679136,1.991334009,0.68880477,0.392639194,0.373695412,0.262814325,0.336147738,112.6961039,22577.41772,29.6704734,880.3369919,2.42002397,0.023047847,2.235641191,0.488614363,0,0.741800301,0.747509107,-13.48691279,23.31198693
Srebrenik,2006,57.0783944,0.846048513,-0.167178577,0.655135796,0.690315397,0.108452694,0.580200512,164.9032258,9951.095462,29.50437696,870.5082596,1.432902973,0,2.582159624,0.022007042,0,0.824377355,0.877449843,7.401643729,10.36327384
